zone_id,name,geometry
19013,T14 - 193,"POLYGON ((-111.926003 33.415001, -111.925003 33.415001, -111.925003 33.414001, -111.926003 33.414001, -111.926003 33.415001))"
19017,T18 - 223,"POLYGON ((-111.926003 33.411003, -111.925003 33.411003, -111.925003 33.410000, -111.926003 33.410000, -111.926003 33.411003))"
20013,U14 - 195,"POLYGON ((-111.925003 33.415001, -111.924004 33.415001, -111.924004 33.414001, -111.925003 33.414001, -111.925003 33.415001))"
20016,U17 - 217,"POLYGON ((-111.925003 33.412003, -111.924004 33.412003, -111.924004 33.411003, -111.925003 33.411003, -111.925003 33.412003))"
21010,V11 - 109,"POLYGON ((-111.924004 33.418003, -111.923004 33.418003, -111.923004 33.417000, -111.924004 33.417000, -111.924004 33.418003))"
21015,V16 - 80,"POLYGON ((-111.924004 33.413002, -111.923004 33.413002, -111.923004 33.412003, -111.924004 33.412003, -111.924004 33.413002))"
21016,V17 - 22,"POLYGON ((-111.924004 33.412003, -111.923004 33.412003, -111.923004 33.411003, -111.924004 33.411003, -111.924004 33.412003))"
21017,V18 - 117,"POLYGON ((-111.924004 33.411003, -111.923004 33.411003, -111.923004 33.410000, -111.924004 33.410000, -111.924004 33.411003))"
22004,W5 - 114,"POLYGON ((-111.923004 33.424000, -111.922005 33.424000, -111.922005 33.423000, -111.923004 33.423000, -111.923004 33.424000))"
22005,W6 - 216,"POLYGON ((-111.923004 33.423000, -111.922005 33.423000, -111.922005 33.422001, -111.923004 33.422001, -111.923004 33.423000))"
22011,W12 - 107,"POLYGON ((-111.923004 33.417000, -111.922005 33.417000, -111.922005 33.416000, -111.923004 33.416000, -111.923004 33.417000))"
22013,W14 - 166,"POLYGON ((-111.923004 33.415001, -111.922005 33.415001, -111.922005 33.414001, -111.923004 33.414001, -111.923004 33.415001))"
22015,W16 - 78,"POLYGON ((-111.923004 33.413002, -111.922005 33.413002, -111.922005 33.412003, -111.923004 33.412003, -111.923004 33.413002))"
22016,W17 - 115,"POLYGON ((-111.923004 33.412003, -111.922005 33.412003, -111.922005 33.411003, -111.923004 33.411003, -111.923004 33.412003))"
23013,X14 - 220,"POLYGON ((-111.922005 33.415001, -111.921005 33.415001, -111.921005 33.414001, -111.922005 33.414001, -111.922005 33.415001))"
23014,X15 - 165,"POLYGON ((-111.922005 33.414001, -111.921005 33.414001, -111.921005 33.413002, -111.922005 33.413002, -111.922005 33.414001))"
23015,X16 - 62,"POLYGON ((-111.922005 33.413002, -111.921005 33.413002, -111.921005 33.412003, -111.922005 33.412003, -111.922005 33.413002))"
23016,X17 - 159,"POLYGON ((-111.922005 33.412003, -111.921005 33.412003, -111.921005 33.411003, -111.922005 33.411003, -111.922005 33.412003))"
24009,Y10 - 93,"POLYGON ((-111.921005 33.419003, -111.920006 33.419003, -111.920006 33.418003, -111.921005 33.418003, -111.921005 33.419003))"
24011,Y12 - 51,"POLYGON ((-111.921005 33.417000, -111.920006 33.417000, -111.920006 33.416000, -111.921005 33.416000, -111.921005 33.417000))"
24013,Y14 - 96,"POLYGON ((-111.921005 33.415001, -111.920006 33.415001, -111.920006 33.414001, -111.921005 33.414001, -111.921005 33.415001))"
24015,Y16 - 40,"POLYGON ((-111.921005 33.413002, -111.920006 33.413002, -111.920006 33.412003, -111.921005 33.412003, -111.921005 33.413002))"
24016,Y17 - 42,"POLYGON ((-111.921005 33.412003, -111.920006 33.412003, -111.920006 33.411003, -111.921005 33.411003, -111.921005 33.412003))"
25015,Z16 - 75,"POLYGON ((-111.920006 33.413002, -111.919006 33.413002, -111.919006 33.412003, -111.920006 33.412003, -111.920006 33.413002))"
25016,Z17 - 76,"POLYGON ((-111.920006 33.412003, -111.919006 33.412003, -111.919006 33.411003, -111.920006 33.411003, -111.920006 33.412003))"
