zone_id,name,geometry
8008,I9 - 6287,"POLYGON ((-111.937004 33.420002, -111.936005 33.420002, -111.936005 33.419003, -111.937004 33.419003, -111.937004 33.420002))"
8010,I11 - 1935,"POLYGON ((-111.937004 33.418003, -111.936005 33.418003, -111.936005 33.417000, -111.937004 33.417000, -111.937004 33.418003))"
8011,I12 - 1944,"POLYGON ((-111.937004 33.417000, -111.936005 33.417000, -111.936005 33.416000, -111.937004 33.416000, -111.937004 33.417000))"
8012,I13 - 1988,"POLYGON ((-111.937004 33.416000, -111.936005 33.416000, -111.936005 33.415001, -111.937004 33.415001, -111.937004 33.416000))"
8013,I14 - 2006,"POLYGON ((-111.937004 33.415001, -111.936005 33.415001, -111.936005 33.414001, -111.937004 33.414001, -111.937004 33.415001))"
8014,I15 - 1679,"POLYGON ((-111.937004 33.414001, -111.936005 33.414001, -111.936005 33.413002, -111.937004 33.413002, -111.937004 33.414001))"
8015,I16 - 6624,"POLYGON ((-111.937004 33.413002, -111.936005 33.413002, -111.936005 33.412003, -111.937004 33.412003, -111.937004 33.413002))"
8016,I17 - 720,"POLYGON ((-111.937004 33.412003, -111.936005 33.412003, -111.936005 33.411003, -111.937004 33.411003, -111.937004 33.412003))"
8018,I19 - 1607,"POLYGON ((-111.937004 33.410000, -111.936005 33.410000, -111.936005 33.409000, -111.937004 33.409000, -111.937004 33.410000))"
9002,J3 - 2567,"POLYGON ((-111.936005 33.426003, -111.935005 33.426003, -111.935005 33.425003, -111.936005 33.425003, -111.936005 33.426003))"
9003,J4 - 119,"POLYGON ((-111.936005 33.425003, -111.935005 33.425003, -111.935005 33.424000, -111.936005 33.424000, -111.936005 33.425003))"
9004,J5 - 2611,"POLYGON ((-111.936005 33.424000, -111.935005 33.424000, -111.935005 33.423000, -111.936005 33.423000, -111.936005 33.424000))"
9005,J6 - 2665,"POLYGON ((-111.936005 33.423000, -111.935005 33.423000, -111.935005 33.422001, -111.936005 33.422001, -111.936005 33.423000))"
9006,J7 - 1545,"POLYGON ((-111.936005 33.422001, -111.935005 33.422001, -111.935005 33.421001, -111.936005 33.421001, -111.936005 33.422001))"
9011,J12 - 4420,"POLYGON ((-111.936005 33.417000, -111.935005 33.417000, -111.935005 33.416000, -111.936005 33.416000, -111.936005 33.417000))"
9013,J14 - 7003,"POLYGON ((-111.936005 33.415001, -111.935005 33.415001, -111.935005 33.414001, -111.936005 33.414001, -111.936005 33.415001))"
9014,J15 - 1693,"POLYGON ((-111.936005 33.414001, -111.935005 33.414001, -111.935005 33.413002, -111.936005 33.413002, -111.936005 33.414001))"
9015,J16 - 768,"POLYGON ((-111.936005 33.413002, -111.935005 33.413002, -111.935005 33.412003, -111.936005 33.412003, -111.936005 33.413002))"
9016,J17 - 749,"POLYGON ((-111.936005 33.412003, -111.935005 33.412003, -111.935005 33.411003, -111.936005 33.411003, -111.936005 33.412003))"
9017,J18 - 6437,"POLYGON ((-111.936005 33.411003, -111.935005 33.411003, -111.935005 33.410000, -111.936005 33.410000, -111.936005 33.411003))"
9018,J19 - 1608,"POLYGON ((-111.936005 33.410000, -111.935005 33.410000, -111.935005 33.409000, -111.936005 33.409000, -111.936005 33.410000))"
10002,K3 - 2563,"POLYGON ((-111.935005 33.426003, -111.934006 33.426003, -111.934006 33.425003, -111.935005 33.425003, -111.935005 33.426003))"
10003,K4 - 2584,"POLYGON ((-111.935005 33.425003, -111.934006 33.425003, -111.934006 33.424000, -111.935005 33.424000, -111.935005 33.425003))"
10004,K5 - 2633,"POLYGON ((-111.935005 33.424000, -111.934006 33.424000, -111.934006 33.423000, -111.935005 33.423000, -111.935005 33.424000))"
10005,K6 - 2678,"POLYGON ((-111.935005 33.423000, -111.934006 33.423000, -111.934006 33.422001, -111.935005 33.422001, -111.935005 33.423000))"
